Sunday,left on shelf,amount decrease,Monday,left on shelf,amount decrease,Tuesday,left on shelf,amount decrease,Wednesday,left on shelf,amount decrease,Thursday,left on shelf,amount decrease,Friday,left on shelf,amount decrease,Saturday,left on shelf,amount decrease
,,,,,,,,,,,,,,,11/1,left on shelf,amount decreased,11/2,left on shelf,amount decreased
,,,,,,,,,,,,,,,brownie batter (mys),0.9,,brownie batter (mys),0.7,0.2
,,,,,,,,,,,,,,,spumoni,0.6,,vanilla bean; rainbow sorbet,0.7,0.3; 0.3
,,,,,,,,,,,,,,,tcp,0.4,,spumoni,0.1,0.5
,,,,,,,,,,,,,,,huckle,1,,tcp,0.1,0.3
,,,,,,,,,,,,,,,straw,0,,choc; scbc,0.5,0.1; 0.5
,,,,,,,,,,,,,,,vanilla bean,0.3,,ube,0,0.3
,,,,,,,,,,,,,,,choc,0.1,,wildberry,0.9,0.1
,,,,,,,,,,,,,,,ube,0.3,,huckle,0.3,0.7
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3.6,,,,3.3
,,,,,,,,,,,,,,,,,,,,
11/3,left on shelf,amount decreased,11/4,left on shelf,amount decreased,11/5,left on shelf,amount decreased,11/6,left on shelf,amount decreased,11/7,left on shelf,amount decreased,11/8,left on shelf,amount decreased,11/9,left on shelf,amount decreased
wildberry,0.7,0.2,wild,0.5,0.2,wild,0,0.5,wild,,,wildberry,0.5,0.5,wildberry,,,wildberry,1,0.5
spumoni; butter pecan,0.9,0.1; 0.1,butter p,0.7,0.2,butter p,0.3,0.4,butter p,,,butter p,0.1,0.2 v 1.2,butter p,,,butter p,0.4,0.7
scbc,0.4,0.1,cc,0,0.1/1.1,cccd,0,1,cccd,,,french vanilla,0.2,0.8,fv,,,fv,0.1,1.1
tcp; cc,0.1,0.1; 0.9,scbc; pistachio,0.8,0.4; 0.2,pistachio,0.6,0.2,pistachio,,,pistachio,0.1,0.5,pista,,,pistachio; tcp,0.4,0.1; 0.6
rainbow,0.3,0.4,rainbow,0.2,0.1,rainbow,1,0.2,rainbow,,,rainbow,0.3,0.7,rainbow,,,rainbow; straw,0.7,0.3; 0.3
rocky road,0.3,0.7,rocky; dawg,0.1,0.3; 0.9,dawg,0.1,1,dawg; v bean,,0.1; 1,salted caramel,0.8,0.2,salted caramel,,,salted c; ube,0.7,0.8; 0.3
mystery,0.3,0.4,mystery; choc,1,0.3; 0,choc,0.5,0.5,choc,,,choc,0.6,0.9,choc,,,choc,0.5,1.1
huckle,0.7,0.6,huckle; mint,1,0.7; 0,mint,0.4,0.6,mint,,,mint; dawg,0.7,0.4; 0.3,dawg,,,dawg; mocha,0.9,0.7; 0.1
,,,,,,,,,,,,,,,,,,,,
,,3.6,,,3.3 v 4.3,,,4.4,,,,,two days:,6.6,,,,,two days:,6.6
,,,,,,,,,,,,,,,,,,,,
11/10,left on shelf,amount decreased,11/11,left on shelf,amount decreased,11/12,left on shelf,amount decreased,11/13,left on shelf,amount decreased,11/14,left on shelf,amount decreased,11/15,left on shelf,amount decreased,11/16,left on shelf,amount decreased
wildberry,0.7,0.3,CLOSED,,,wild,0.3,0.4,wildberry; scbc,1,0.3; 0,scbc,0.1,0.9,scbc,0.7,0.4,scbc,0,0.7
butter; straw cheese,1,0.4; 0,,,,straw ch,0.1,0.9,straw ch,0.8,0.3,straw ch; strawberry,0.9,0.8; 0.1,straw,0.5,0.4,straw,1,0.5
french; peppermint,0.6,0.1; 0.4,,,,peppermint; choc,1,0.6; 0,choc,0.7,0.3,choc,0.4,0.3,choc,0.8,0.6,choc,0.5,0.3
